image_path,labels
Dataset/train/NonDemented/nonDem1498.jpg,0
Dataset/train/NonDemented/nonDem2191.jpg,0
Dataset/train/NonDemented/nonDem2185.jpg,0
Dataset/train/NonDemented/nonDem499.jpg,0
Dataset/train/NonDemented/nonDem2152.jpg,0
Dataset/train/NonDemented/nonDem472.jpg,0
Dataset/train/NonDemented/nonDem314.jpg,0
Dataset/train/NonDemented/nonDem300.jpg,0
Dataset/train/NonDemented/nonDem1329.jpg,0
Dataset/train/NonDemented/nonDem466.jpg,0
Dataset/train/NonDemented/nonDem2146.jpg,0
Dataset/train/NonDemented/nonDem1467.jpg,0
Dataset/train/NonDemented/nonDem328.jpg,0
Dataset/train/NonDemented/nonDem1301.jpg,0
Dataset/train/NonDemented/nonDem1315.jpg,0
Dataset/train/NonDemented/nonDem1473.jpg,0
Dataset/train/NonDemented/nonDem2393.jpg,0
Dataset/train/NonDemented/nonDem1842.jpg,0
Dataset/train/NonDemented/nonDem1856.jpg,0
Dataset/train/NonDemented/nonDem2387.jpg,0
Dataset/train/NonDemented/nonDem857.jpg,0
Dataset/train/NonDemented/nonDem843.jpg,0
Dataset/train/NonDemented/nonDem2436.jpg,0
Dataset/train/NonDemented/nonDem116.jpg,0
Dataset/train/NonDemented/nonDem1881.jpg,0
Dataset/train/NonDemented/nonDem670.jpg,0
Dataset/train/NonDemented/nonDem1659.jpg,0
Dataset/train/NonDemented/nonDem2350.jpg,0
Dataset/train/NonDemented/nonDem2344.jpg,0
Dataset/train/NonDemented/nonDem1895.jpg,0
Dataset/train/NonDemented/nonDem664.jpg,0
Dataset/train/NonDemented/nonDem102.jpg,0
Dataset/train/NonDemented/nonDem2422.jpg,0
Dataset/train/NonDemented/nonDem1103.jpg,0
Dataset/train/NonDemented/nonDem1665.jpg,0
Dataset/train/NonDemented/nonDem894.jpg,0
Dataset/train/NonDemented/nonDem658.jpg,0
Dataset/train/NonDemented/nonDem1671.jpg,0
Dataset/train/NonDemented/nonDem880.jpg,0
Dataset/train/NonDemented/nonDem2378.jpg,0
Dataset/train/NonDemented/nonDem1117.jpg,0
Dataset/train/NonDemented/nonDem1088.jpg,0
Dataset/train/NonDemented/nonDem1936.jpg,0
Dataset/train/NonDemented/nonDem1922.jpg,0
Dataset/train/NonDemented/nonDem923.jpg,0
Dataset/train/NonDemented/nonDem937.jpg,0
Dataset/train/NonDemented/nonDem2542.jpg,0
Dataset/train/NonDemented/nonDem704.jpg,0
Dataset/train/NonDemented/nonDem2224.jpg,0
Dataset/train/NonDemented/nonDem2230.jpg,0
Dataset/train/NonDemented/nonDem1739.jpg,0
Dataset/train/NonDemented/nonDem710.jpg,0
Dataset/train/NonDemented/nonDem2556.jpg,0
Dataset/train/NonDemented/nonDem1077.jpg,0
